id	author_id	created_at	text	coding	sentiment
1465448980784025606	352983745	2021-11-29 22:33:58+00:00	release	watching	positive
1465395602628431877	581895939	2021-11-29 19:01:52+00:00	Richard Berry #ShangChi https://t.co/iPKH3XqSJR	actor/charactor talk	neutral
1465538891012710401	1313581040900870144	2021-11-30 04:31:14+00:00	Kind of looks like Simu Liu is wearing briefs under those very lose pants on “Shang-Chi.” https://t.co/C5LxbDjbQZ	actor/charactor talk	neutral
1465508101478662147	447806438	2021-11-30 02:28:53+00:00	"@WSJ If #Disney thinks taking out the episode abt #TiananmenSquareMassacre in #Simpsons can please #CCP #China, well, such a big mistake, like ShangChi. https://t.co/8Io2HksDIV"	scene/plot talk	negative
1465536858620715009	867672548166713344	2021-11-30 04:23:10+00:00	Ya know Shang-Chi is a great movie and all... without the constant lagging and screaming of course.	praise	neutral
1465552443970777088	1244172103521169408	2021-11-30 05:25:05+00:00	Baru tengok Shang Chi. Not saying Wenwu's decision was right but I understand him.	scene/plot talk	neutral
1465428785436803081	1385059444506066944	2021-11-29 21:13:43+00:00	"@TajakaKarka yeah i referenced the top panel from the end credit scene in shangchi haha i havent watched b99, but ive seen that one scene w the song floating around n i think its funny LOL thank u!!!"	scene/plot talk	positive
1465414726775709700	703468726931296256	2021-11-29 20:17:51+00:00	I just watched Shang Chi and it’s freakin good I love it	praise	positive
1465472134260604928	1150918792400293889	2021-11-30 00:05:58+00:00	"yeah Shang Chi was incredible. those were some of, if not the best fight scenes in the MCU. one of the best things to come out of phase 4 so far. and Simu Liu is fantastic i wanna see so much more of him in the MCU"	praise	positive
1465450141901594629	1445109841803063305	2021-11-29 22:38:35+00:00	@yanismouhoub2 @GraceRandolph We’re most likely gonna get a Dr Strange Credit scene like in Shang chi that reveals what’s happened after wandavisiom with a possibility of Wanda showing	scene/plot talk	neutral
