id	author_id	created_at	text	coding	sentiment
1465556258694385664	1134513101015879680	2021-11-30 05:40:15+00:00	god i wanna watch shang chi om the big screen though,..	watching	positive
1465556172195385348	1316552887590285312	2021-11-30 05:39:54+00:00	@mkymntno @shangchi @TheEternals @ColumbiaPicPH How about #Venom ?I plan to watch #VenomLetThereBeCarnage SAFELY in cinemas on DECEMBER 17!	comparison	neutral
1465555866938138627	730363219508760576	2021-11-30 05:38:42+00:00	THE COMEDY IN SHANG-CHI IS GR8	review	positive
1465555505078624262	1408256355287191555	2021-11-30 05:37:15+00:00	rewatching shang-chi because i'm bored and coping	watching	positive
1465555497738592260	1645164199	2021-11-30 05:37:14+00:00	Ah yes rewatching Shang chi for the second time this week prioritising my crippling mental health.	watching	positive
1465555286794682369	1325660610	2021-11-30 05:36:23+00:00	Let’s see what this Shang chi movie is about	watching	neutral
1465554786443399168	57294559	2021-11-30 05:34:24+00:00	The Shang-Chi movie is totally fake because I ride the 1 California bus every day and there is never any Kung Fu action. That shit happens on the 38.	scene/plot talk	positive
1465554445526315013	329872644	2021-11-30 05:33:03+00:00	Things Marvel should learn from #ShangChi:- Put Tony Leung in everything.- it's okay to have some colour in your films.- Having actors be actually good at combat and not cutting between the action makes it 100x more impactful and enjoyable.	comparison	positive
1465554412173021185	1336963885077725184	2021-11-30 05:32:55+00:00	shang-chi https://t.co/N7v1aloEeL	too little info	neutral
1465554301774749699	1394843123293908992	2021-11-30 05:32:28+00:00	currently on my shang chi phase do not disturb for a moment	watching	positive
1465554119683420163	730363219508760576	2021-11-30 05:31:45+00:00	shang-chi mf got me ROLLINNNN	review	positive
1465553958706069506	1216761698532626432	2021-11-30 05:31:07+00:00	@theycallmeyogi @theycallmeyogi I actually reviewed Eternals, just like I did for Shang Chi, Black Widow and have done weekly for What If, Loki, Wandavision, &amp; Falcon and the Winter Soldier!!!!Feel free to share if you like 😀😃😄https://t.co/VaUjApbsHL	comparison	positive
1465553877697130499	4294577954	2021-11-30 05:30:47+00:00	Nova + Jaime Reyes = Blue NovaStorm + Vixen = DeityShang-Chi + The Super-Man = Kong-ChiBlack Panther + the Bronze Tiger = The Coal TigerEternals + The Forever People = The Infinites	comparison	neutral
1465553602597040128	1216761698532626432	2021-11-30 05:29:42+00:00	@kit_gn @_richardmadden @kit_gn I actually reviewed Eternals, just like I did for Shang Chi, Black Widow and have done weekly for What If, Loki, Wandavision, &amp; Falcon and the Winter Soldier!!!!Feel free to share if you like 😀😃😄https://t.co/VaUjApbsHL	comparison	neutral
